time,x,y,phi,delta,v,theta,cost
0.016492843627929688,-0.26,0.0,1.5707963267948966,0.0,0.0,0.0,8.823237343695041
0.37204456329345703,-0.26,0.0,1.5707963267948966,-0.015756052983608552,0.04,0.0,8.550173824074356
0.6505131721496582,-0.26,0.0016,1.570745903252678,-0.031331345928014544,0.08,0.0,8.27760410558132
0.8057231903076172,-0.25999983864466497,0.004799999995931946,1.570545316999061,-0.04670660727048132,0.12,0.0,8.006261200460761
1.0523083209991455,-0.2599986337976576,0.009599999844717745,1.5700966072339457,-0.06184194530655114,0.16,0.0,7.736512479515926
1.2062840461730957,-0.25999415559283295,0.015999998277973923,1.5693040196787782,-0.07668138039579972,0.2,0.0,7.467416378306993
1.5035748481750488,-0.25998221714033515,0.023999989370053463,1.5680747071809311,-0.0911870458014971,0.24000000000000002,0.0,7.199937720100789
1.8067100048065186,-0.25995608962429645,0.03359995381545146,1.5663190470520025,-0.10532778929283282,0.28,0.0,6.935173901972056
2.0782928466796875,-0.2599059442587124,0.04479984155784917,1.5639509408763925,-0.11907111928176388,0.32,0.0,6.673906775373636
2.3305115699768066,-0.2598183240032634,0.05759954165944667,1.5608882322321795,-0.1324039528580475,0.36,0.0,6.416525593536102
2.5718564987182617,-0.2596756497759832,0.07199883483879647,1.5570525579955967,-0.14529806496671266,0.39999999999999997,0.0,6.1638024573440315
2.7824840545654297,-0.2594557563980002,0.08799732373313644,1.5523700216134966,-0.15770645352576806,0.43999999999999995,0.0,5.914608257983529
3.025055170059204,-0.2591314717781916,0.10559433596491476,1.5467722694799406,-0.16958542143745917,0.4799999999999999,0.0,5.669394097593323
3.2490007877349854,-0.2586702542464248,0.12478879554022948,1.54019703525446,-0.18091597232371703,0.5199999999999999,0.0,5.429131035860015
3.4390203952789307,-0.25803388829990387,0.1455790586069179,1.5325877300749333,-0.19167779562809942,0.5599999999999999,0.0,5.194696803408238
